T,AP,RH,V,EP
23.56,1007.13,87.1,73.67,439.27
10.57,1022.11,82.39,36.71,472.62
14.43,1024.34,84,44.84,467.45
31.68,1014.85,64,73.68,431.11
7.54,1014.58,78.43,37.7,481.56
14.07,1015.79,86,43.34,463.77
11.27,1017.03,61.94,40.62,471.26
9.3,1010.99,88.12,43.14,477.02
14.98,1022.66,83.34,43.99,462.32
17.68,1011.24,61.37,40.89,462.08
7.66,1031.96,82.48,41.92,485.11
24.17,1003.9,90.36,71.25,435.66
24.44,1008.38,91.66,72.99,435.47
20.26,1008.9,93.47,51.19,448.1
14.64,1016.33,60.59,53.82,463.18
23.82,1016.61,75.29,60.32,445
27.6,1017.78,54.25,67.25,438.42
10.48,1011.81,88.86,39.58,472.61
17.38,1011.09,61.9,43.14,459.02
15.45,1019.87,79.21,61.27,456.59
16.85,1006.14,79.21,41.35,463.37
9.3,1017.19,71.51,38.18,480.14
23.74,1008.88,76.34,52.3,444.4
22.76,1014.35,48.85,49.21,448.73
9,1018.83,79.61,41.54,484.08
18.21,993.11,62.29,41.23,457.53
3.38,1011,81.22,39.64,488.92
9.76,1019.66,97.59,41.01,467.6
28.68,1011.78,62.67,61.86,440.57
27.01,1011.71,77.84,43.21,434.09
26.88,1013.54,58.13,59.21,437.11
16.69,1010.41,58.18,44.78,456.17
23.22,1012.91,77.59,63.07,446.62
14.43,1024.02,83.57,41.76,467.33
17.27,1000.89,70.66,40.55,461.31
9.83,1019.34,72.29,41.17,478.21
21.96,1011.09,80.27,69.94,441.15
16.56,1007.48,74.45,42.99,464.62
10.4,1014.24,93.48,42.44,480.04
9.55,1020.5,97.28,43.99,476.06
32.13,1013.3,55.85,69.98,431.84
9.88,1005.68,97.61,37.83,470.44
23.09,1009.82,72.36,63.76,443.86
30.71,1007.76,68.04,68.27,428.27
12.21,1012.88,85.19,41.67,475.07
18.9,1016.02,71.38,60.07,451.5
12.99,1020.25,74.64,41.93,472.95
19.48,1013.32,73.16,58.66,454.4
22.86,1017.2,67.11,60.08,452.34
11.96,1017.42,79.44,43.41,469.34
18.48,1015.61,85.14,58.59,452.52
16.59,1007.97,70.58,39.54,464.19
27.43,999.72,67.94,64.96,431.21
14.13,1016.05,72.41,40.75,471.44
31.31,1014.24,51.08,64.44,438.14
23.86,1013.02,73.6,59.21,441.22
27.19,1008.97,88.43,71.32,437.92
15.55,1004.98,89.82,39.63,466.83
18.03,1013.06,82.03,53.16,458.04
17.74,1006.09,80.7,49.69,457.05
26.64,1010.6,79.23,69.13,430.41
32.36,1003.88,59.84,73.91,431.92
27.98,1005.58,81,71.98,428.44
22.55,1006.19,92.56,70.79,436.43
26.85,1017.43,74.55,75.6,433.48
24.39,1013.3,77.53,63.77,443.65
25.64,1011.06,71.06,68.08,431.77
10.36,1011.95,78.15,43.67,477.23
20.18,1011.31,65.11,43.43,450.09
26.8,1001.2,65.03,58.84,445.76
11.77,1021.08,85.08,40,475.49
24.63,1014.53,75.24,63.9,440.23
10.11,1010.22,82.11,42.49,483.56
20.72,1011.25,87.1,68.61,447.89
24.43,1011.88,71.39,58.05,445.68
21.53,1016.46,74.72,59.8,454.99
14.66,1006.15,91.98,47.83,461.46
13.24,1017.05,81.99,54.3,467.81
29.56,1006.09,42.17,52.84,436.46
13.61,1017.78,88.84,42.34,466.17
27.14,1011.47,63.14,75.23,439.33
10.84,1005.24,87.27,40.27,479.22
12.72,1008.36,92.59,39.13,467.28
23.72,1010.65,75.39,70.47,438.5
30.26,1007,65.51,72.58,425.71
8.58,1021.03,84.37,38.38,482.26
16.55,1009.97,96.54,46.18,455.8
25.86,1005.73,69.35,76.2,438.75
21.12,1014.16,81.42,63.56,445.9
18.27,1013.09,84.72,65.94,450.33
16.72,1007.75,56.79,44.78,453.39
24.66,1006.56,60.91,69.94,432.68
28.57,1013.27,51.11,65.27,440.51
23.63,1011.05,87.96,63.57,449.01
25.55,1017.12,51.84,58.95,442.3
23.68,1007.53,86.05,49.02,440.68
12.68,1021.59,78.57,41.4,466.64
12.91,1018.4,86.5,42.07,466.05
33.97,1008.98,44.32,72.29,432.33
10.72,1023.22,86.95,45,480.62
6.63,1024.81,72.58,39.42,482.02
13.48,1012.71,58.91,39.85,475.74
6.65,1011.29,92.85,39.33,490.41
30.08,1011.17,63.86,73.42,434.95
22.11,1016.86,70.14,59.8,450.62
25.65,1013.95,50.42,69.45,436.24
14.51,1023.23,82.33,44.84,465.09
27.11,1002.78,53.39,48.6,439.4
30.96,1006.26,52.76,71.77,425.66
11.22,1011.01,81.67,40.22,476.7
24.62,1011.39,83.94,72.24,432.13
31.13,1011.51,61.27,64.05,439.24
20.65,1016.04,87.45,57.5,448.22
23.89,1012.46,78.29,65.18,438.97
21.48,1019.29,61.43,61.27,450.88
21.93,1009.81,81.15,57.17,448.75
14.54,1000,81.34,41.16,463.9
16.27,1020.56,82.22,44.21,462.11
22.76,1007.5,88.56,49.02,442.84
32.77,1003.6,52.87,72.86,433.84
16.5,1018.35,93.42,49.39,462.48
26.29,1010.71,76.95,68.24,429.71
23.73,1010.7,87.1,63.94,441.78
29.25,1012.05,84.28,78.87,430.49
18.96,1016.66,71.95,44.58,461.96
22.92,1016.37,71.38,58.62,447.48
30.13,1005.88,40.71,68.94,441.78
10.34,1010.35,95.56,37.5,474.08
11.92,1016.99,81.24,41.2,476
18.45,1013.45,63.52,42.44,459.79
7.2,1011.83,95.59,40.35,484.9
28.11,1009.38,72.81,77.95,432.98
23.81,1013.19,54.82,46.93,449.58
15.21,1014.24,100.11,50.88,460.56
14.24,1023.6,94.06,44.84,466.67
30.28,1006.96,70.21,79.74,433.45
25.21,1006.01,73.14,60.37,436.23
22.1,1012.71,79.77,68.12,440.08
23.79,1012.92,60.03,48.06,447.59
6.67,1011.07,91.96,39.33,490.03
29.41,1011.36,52.37,59.27,441.99
17.76,1002.82,73.77,40.55,461.8
12.54,1017.26,83.59,43.69,470.04
18.89,1012.38,71.96,66.86,454.02
17.68,1024.55,69.7,44.92,458.12
25.34,1013.38,66.02,64.27,443.94
16.86,1004.47,83.5,39.63,466.68
12.08,1016.63,92.32,40.24,474.07
25.52,1012.84,75.98,61.25,435.48
9.28,1021.96,72.22,41.38,486.18
13.51,1009.63,75.02,43.22,465.89
11.87,1017.29,90.3,41.58,464.77
11.77,1024.55,72.49,40.71,477.94
27.64,1017.35,54.78,75.6,441.04
17.78,1006.9,100.09,52.08,453.31
17.7,1020.15,69.8,38.52,455.5
13.86,1020.69,70.74,41.58,461.56
13.08,1020.75,64.44,41.74,474.81
8.82,1026.81,82.54,34.69,481.44
13.11,1007.6,97,42.99,472.84
10.74,1016.76,84.59,41.46,479.94
10.42,1016.22,90.75,43.79,474.79
8.47,1019.87,78.19,40.46,475.06
32.89,1009.94,60.55,66.44,431.54
7.05,1020.53,89.67,40.69,476.75
19.04,1004.52,86.16,68.28,444.54
11.12,1020.13,75.07,41.54,477.69
9.41,1016.14,78.38,39.61,477.34
19.17,1016.56,65.23,52.9,458.59
21.16,1014.65,73.06,45.38,458.63
19.66,1018.75,87.6,59.87,446.28
17.19,1014.34,68.62,43.14,464.72
6.22,1012.05,86.88,39.85,443.73
9.15,1018.11,75.29,39.61,474.88
21.18,1007.27,73.67,44.57,449.93
25.06,1010.74,90.7,78.92,434.55
20.76,1017.09,57.47,44.58,462.01
18.91,1012.9,59.81,45.01,456.12
28.69,1013.67,34.1,58.33,448.54
24.23,1003.61,74.44,49.3,440.65
23.62,1011.11,64.44,56.85,442.96
22.89,1007.84,88.16,62.39,448.13
30.33,1006.72,70.31,70.36,438.47
31.59,1005.12,43.5,43.5,429.96
22.69,1013.7,62.05,48.14,448.52
8.99,1028.11,71.98,36.66,481.03
11.48,1016.43,80.15,44.58,478.53
13.02,1014.43,87.32,40.1,474.97
31.38,1010.35,47.28,70.83,431.33
32.57,1011.03,46.27,65.74,440.56
29.14,1010.15,54.87,75.23,434.82
24.98,1006.59,90.61,71.98,432.06
13.77,1016.63,62.13,43.13,468.45
21.69,1011.75,82.63,57.17,446.61
25.88,1007.93,68.71,61.47,445.65
16.51,1007.1,74.03,41.79,457.74
20.79,1013.39,77.93,50.66,454.78
9.18,1014.52,98.04,42.44,480.49
26.51,1017.85,64.17,67.25,435.52
31.54,1007.61,65.57,72.58,427.31
28.37,1007.39,71.06,71.64,434.91
10.39,1009.77,83.27,40.22,478.58
14.58,1007.55,93.56,42.99,468.43
21.69,1005.84,71.53,44.57,447.88
31,1010.14,65.97,77.95,431.62
17.86,1023.25,53.48,45,465.78
14.59,1012.7,83.92,42.44,470.86
17.47,1014.15,54.71,43.56,460.87
13.61,1017.93,91.61,42.34,463.89
11.26,1023.63,88.99,44.92,474.69
15.68,1015.09,58.96,43.7,470.29
11.87,1011.43,62.92,40.67,479.18
25.1,1004.34,82.8,71.77,429.7
26.03,1007.3,82.52,59.07,440.6
15.21,1024.32,61.11,52.75,458.84
26.55,1005.74,79.41,73.67,433.44
5.21,1017.64,78.62,43.65,486.08
31.39,1008.28,62.86,69.59,435.76
24.27,1007.73,82.49,74.99,438.26
19.21,1011.7,91.29,58.49,452.82
26.1,1009.25,84.52,66.25,441.53
12.84,1011.47,89.86,39.54,468.22
22.7,1011.05,90.84,59.92,436.7
11.02,1015.75,74.83,40,468.09
28.4,1012.03,59.75,59.27,441.64
14.78,1016.42,67.42,41.17,469.69
23.81,1015.53,70.66,57.5,448.72
26.43,1013.57,64.67,58.41,444.74
9.88,1017.81,76.05,39.66,480.05
19.11,1010.88,100.09,50.16,450.38
14.45,1025.26,84.23,43.71,463.6
18.83,1010.8,96.18,63.91,448.15
24.6,1012.87,80.28,63.94,439.63
30.57,1008.94,59.99,69.71,439.38
23.29,1013.19,77.81,68.51,441.17
25.94,1007.22,64.76,60.75,439.46
26.71,1012.13,77.5,77.95,433.47
29.58,1015.57,32.95,66.51,435.47
11.56,1015.85,76.08,40.71,469.17
18.36,1013.14,79.89,53.16,457.94
14.2,1031.96,69.59,42.86,468.63
24.26,1003.87,70.44,47.93,439.16
18.11,1002.51,100.09,52.08,449.99
22.34,1004.05,73.96,52.84,449.06
22.45,1012.69,70.89,41.54,460.07
26.82,999.72,63.55,64.96,427.51
22.83,1017.82,69.76,58.62,450.96
15.12,1006.55,76.99,39.16,463.78
31.16,1001.71,44.85,64.96,425.82
31.7,1000.29,46.27,69.13,427.95
26.82,1013.28,50.86,69.23,436.36
21.08,1011.39,88.79,70.32,440.59
26.77,1010.83,63.48,68.08,432.91
32.51,1007.06,59.6,73.56,435.23
31.93,1005.27,73.71,70.4,432.29
26.55,1013.88,55.39,69.45,435.64
19.31,1005.31,77.15,67.71,446.23
13.34,1026.56,64.85,40.8,474.47
21.14,1006.38,56.78,67.71,445.12
31.63,1014.8,42.02,68.3,426.86
8.9,1011.67,90.26,40.77,479.18
7.11,1008.82,87.76,39.9,484.21
17.81,1011.98,67.27,37.2,470.97
9.15,1023.82,75.4,40.11,475.01
28.9,1007.29,64.77,71.94,427.41
21,1010.22,95.11,70.02,447.29
14.02,1030.86,68.36,42.86,467.29
21.81,1015.93,91.38,60.27,441.85
30.53,1000.37,74.17,73.21,430.2
10.97,1015,87.59,40.6,478.69
22.99,1017.97,78.47,60.77,447.62
29.67,1015.6,34.1,66.51,434.8
10.27,1017.04,77.09,41.44,479.3
9.68,1026.09,99.28,39.96,470.22
4.96,1007.32,98.78,45.87,481.88
16.57,1005.82,72.25,41.79,452.84
27.69,1008.52,60.93,69.98,433.47
17.03,1004.94,79.68,47.83,460.43
3.99,1011.53,83.58,39.64,492.06
11.6,1008.55,72.12,40.27,473.89
5.64,1015.76,85.98,40.62,483.17
8.39,1013.39,89.13,36.24,480.69
28.85,1013.78,41.39,58.33,444
24.2,1014.82,59.42,60.95,448.43
7.45,1019.31,86.32,43.13,485.6
25.31,1009.31,63.31,61.5,437.03
24.05,1006.63,69.2,64.69,438.36
12.66,1015.88,89.12,41.2,466.49
13,1016.7,81.94,39.28,473.6
24.87,1006.45,65.75,65.75,435.6
9.61,1023.45,75.66,39.04,483.86
10.75,1023.68,89.37,45,481.96
18.19,1011.87,79.68,43.96,464.58
25.44,1008.22,80.73,69.59,433.97
26.1,1007.47,55.15,44.57,446.49
27.32,1004.95,72.58,66.54,431.33
12.08,1015.84,86.9,40.75,476.84
15.07,1019,63.62,39.3,464.7
20.63,1010.71,62.34,43.77,448.25
23.74,1013.2,49.51,49.5,463.4
14.85,1016.02,55.29,43.13,470.37
21.92,1013.44,67.8,48.14,449.65
24.43,1017.18,57.73,58.95,441.4
10.04,1011.26,88.91,39.13,474.61
18.31,1015.99,66.14,52.9,459.61
29.85,1010.04,58.66,71.58,432.26
21.88,1015.58,87.19,59.39,442.92
13.35,1012.41,83.45,39.58,465.85
26.94,1005.46,60.62,66.48,440.12
16.33,1013.98,84.9,42.44,462.44
25.32,1015.5,68.17,54.5,451.52
30.3,1005.57,58.74,73.67,431.57
28.42,1011.39,62.72,73.4,438.25
15.91,1016.2,63.63,38.62,462.25
16.19,1007.37,92.4,36.99,462.94
10.15,1019.38,82.3,41.17,480.71
11.82,1014.12,88.28,42.86,476.7
8.66,1028.22,86.96,36.25,479.66
5.33,1009.61,94.97,39.33,491.17
22.54,1019.12,54.02,61.27,450.01
22.01,1017.55,83.82,60.84,441.9
27.37,1013.09,50.92,65.06,440.5
28.29,1005.46,69.22,68.67,436.4
15.34,1012.08,100.12,41.96,468.33
20.61,1008.54,77.54,44.63,456.68
12.52,1016.08,68.94,41.44,477.18
14.46,1016.55,68.11,53.82,462.6
19.68,1019.49,49.5,44.34,468.27
15.74,1013.38,81.45,43.34,463.24
12,1015.48,82.51,39.35,476.64
10.03,1017.3,85.99,42.18,475.74
14.29,1009.98,92.81,37.85,468.63
24.51,1014.64,67.57,51.86,446.74
17.7,1015.16,67.91,49.21,455.97
28.59,1011.36,89.18,80.18,431.55
14.02,1016.06,85.8,43.34,466.38
16.68,1018.39,76.48,43.14,459.83
12.81,1015.46,79.97,45.51,469.27
6.25,1020.19,65.24,40.07,494.39
9.41,1021,88.74,43.5,473.84
19.47,1011.66,69.93,43.43,451.38
12.38,1012.37,84.15,41.62,461.07
23.14,1017.49,53.19,63.94,446.57
9.63,1027.99,87.89,41.14,469.73
13.67,1009.3,81.85,38.53,470.39
12.27,1019.39,52.18,41.17,473.84
14.46,1008.26,89.44,45.87,458.69
14.57,1015.13,74.89,42.18,465.75
9.87,1033.04,68.57,41.82,475.58
29.23,1008.49,57.88,74.22,428.9
10.24,1019.73,82.04,41.17,479.78
33.3,1003.02,53.43,68.14,426.88
29.05,1011.1,51.39,64.84,442.58
12.63,1013,100.13,48.04,464.6
25.97,1009.43,88.11,69.34,435.02
6.86,1021.35,90.78,41.38,487.49
18.28,1002,65.69,41.1,460.03
15.33,1008.19,66.15,42.28,465.2
10.33,1021.35,90.84,40,479.32
8.31,1020.07,78.18,40.46,476.72
25.16,1012.69,58.02,54.2,441.99
14.85,1013.12,85.53,45.01,460.19
15.48,1016.1,64.77,53.82,462.69
23.37,1016.25,48.64,65.46,447.07
22.88,1016.11,63.77,50.23,458.08
25.32,1014.55,74.69,63.77,441.5
24.44,1017.36,61.45,59.21,445.82
30.17,1017.06,43.81,64.79,439.75
14.84,995.02,88,41.23,464.85
27.96,1004.8,35.64,49.16,442.49
18.67,1017.13,77.18,44.06,454.51
22.56,1003.82,77.46,66.48,437.73
24.91,1008.22,82.81,58.69,435.96
26.11,1007.64,70.12,70.36,445.37
19.95,1017.45,89.46,58.46,447.1
32.63,1013.85,41.66,69.89,425.72
14.21,1016.5,85.09,39.16,473.87
28.18,1016.34,49.13,60.07,441.61
6.67,1020.31,73.56,39.37,488.13
13.27,1025.86,65.12,52.75,464.82
10.37,1006.5,90.99,37.83,470.66
26.11,1013.9,59.62,52.36,453.76
18.68,1018.16,75.01,53.29,459.89
12.12,1017.68,78.72,41.17,470.67
12.07,1012.67,81.66,38.25,470.36
7.54,1023.82,85.15,40.72,485.92
13.61,1015.1,54.98,38.47,466.51
13.61,1021.66,62.83,41.74,471.79
12.25,1016.47,81.15,44.58,475.24
26.1,1009.42,85.4,74.16,437.18
26.09,1010.74,60.88,60.23,445.88
32.14,1010.48,42.15,68.31,436.15
21.55,1006.03,71.54,44.57,446.84
5.74,1016.31,84.91,40.62,481.15
31.41,1008.65,68.5,74.16,430.37
34.97,1006.57,44.69,73.56,435.15
12.32,1022.42,79.74,41.26,470.27
31.32,1008.37,50.07,71.29,430.46
27.97,1002.25,57.88,58.84,446.11
26.23,1009.73,73.44,70.72,445.28
24.8,1009.86,71.75,61.02,438.96
28.35,1010.65,60.38,71.14,429.21
29.84,1009.64,61.39,74.87,435.05
30.95,1009.95,50.02,71.58,430.47
13.38,1013.92,96.96,40.12,468.15
28.54,1008.84,78.62,69.59,433.3
28.52,1004.81,57.82,57.82,435.4
28.62,1016.36,53.1,59.14,436.09
16.78,1000.23,70.52,41.35,459.64
10.08,1010.67,85.9,43.14,478.73
13.07,1016.93,70.02,43.13,471.47
17.99,1016.13,75.63,43.79,462.4
15.46,1017.7,68.2,44.6,459.62
27.11,1013.71,39.28,66.49,435.79
22.6,1006.37,79.59,69.84,435.13
32.09,1003.47,54.59,72.86,434.78
20.03,1009.04,77.56,47.45,450.6
22.63,1008,82.27,70.47,441.92
27.06,1007,72.37,70.47,430.82
14.24,1013.54,88.68,45.01,461.64
25.79,1008.61,64.3,59.43,435.51
8.62,1011.64,82.86,39.54,483.03
30.34,1005.32,52.97,75.08,437.26
23.55,1020.16,70.16,62.96,447.65
26.21,1016.06,44.31,65.12,444.44
12.89,1017.48,83.95,48.14,463.77
25.68,1013.71,70.61,58.41,440.78
18.85,1012.52,67.88,48.06,451.77
11.49,1019.08,60.04,35.76,472.45
13.6,1013.37,87.52,42.86,472.27
22.56,1018.19,67.53,60.29,447.15
26.43,1008.67,92.59,77.17,431.26
12.2,1018.64,76.1,44.77,469.41
30.17,1005.17,55.89,75.08,438.89
21.55,1017.42,92.59,60.27,443.93
23.48,1009.61,88.16,72.99,437.1
21.19,1008.24,79.19,52.3,447.06
13.61,1017.57,91.35,42.34,465.65
9.82,1019.18,65.8,36.18,475.21
8.02,1018.49,68.07,39.04,479.53
11.2,1019.94,67.18,41.54,479.03
29.21,1012.72,71.85,72.25,434.64
22.21,1015.08,66.8,48.14,448.33
11.34,1011.54,87.95,43.67,472.77
19.13,1008.51,87.54,50.78,447.03
15.19,1017.38,71.66,42.03,462.64
27.49,1006.62,73.35,71.94,435.29
16.57,1015.67,71.95,43.7,465.78
9.38,1015.45,90.47,43.7,481.52
6.43,1022.73,85.03,36.08,486.39
11.86,1008.06,72.91,40.27,474.57
10.42,1021.04,89.16,41.46,479.24
29.85,1007.01,30.99,68.24,433.43
23.1,1007.36,85.96,59.43,440.64
22.25,1017.8,82.19,60.77,444.05
11.43,1013.43,82.45,44.78,471.09
18.06,1009.52,100.09,50.16,450.53
30.52,1003.9,64.33,70.4,438.29
16.58,1009.66,97.59,45.87,457.8
29.72,1009.92,66.42,68.24,426.54
25.6,1005.78,84.82,73.67,433.25
22.18,1016.74,54.02,65.46,447.92
17.89,1010.03,53.78,44.78,457.74
26.56,1013.73,63.9,56.57,442.74
29.6,1010.49,61.66,69.82,438.47
10.96,1019.28,87.38,41.93,473.28
19.78,1011.74,89.34,54.42,456.84
25.79,1017.46,75.63,75.6,434.65
13.09,1017.61,82.38,54.3,471
24.4,1009.7,59.26,71.14,436.68
8.27,1015.3,73.36,35.77,478.13
22.86,1014.03,54.96,58.96,451.82
12.57,1023.09,77.28,39.18,471.87
12.65,1007.13,85.23,44.03,466.01
7.4,1022.56,87.67,40.72,484.29
30.36,1010.76,51.32,68.08,429.97
12.71,1023.15,71.16,43.8,466.2
18.56,1001.46,99.59,42.18,456.61
26.88,1004.85,94.36,73.56,430.63
15.92,1015.84,59.99,44.85,467.41
29.7,1005.63,57.35,57.35,433.27
9.53,1017.74,89.05,40.23,484
17.72,1007.34,72.3,39.99,461.7
7.55,1014.53,77.76,39.22,482.19
28.43,1012.52,71.05,73.18,427.11
7.84,1016.68,47.63,40.07,488.7
8.8,1025.17,68.72,39.42,476.5
24.44,1006.39,49.05,52.84,440.2
13.97,1015.15,55.28,38.47,464.3
5.89,1019.78,79.58,35.77,479.86
24.03,1010.96,79.88,62.44,430.66
25.43,1000.46,87.84,70.17,436.43
5.74,1021.37,74.47,37.8,490.81
19.44,1018.5,88.35,59.21,448.04
14.72,1016.42,76.42,39,464.93
19.15,1019.62,74.89,57.76,458.66
19.96,1006.16,62.77,39.53,460.49
9.08,1010.67,85.35,42.49,481.46
6.57,1018.24,74.47,43.65,481.46
18.94,1010.22,75.45,46.93,441.41
4.87,1012.69,94.72,42.85,482.05
9.37,1024.94,75.03,40.11,471.13
9.06,1019.73,84.23,39.3,480.41
18.88,1020.62,82.01,62.96,456.18
28.47,1004.79,56.51,67.69,430.67
25.67,1007.84,83.32,69.88,441.35
24.31,1019.47,58.54,63.86,442.69
16.7,1015.11,97.25,50.88,456.18
25.04,1018.92,52.79,63.86,441.6
20.97,1007.64,71.18,47.43,448.22
14.44,1015.96,81.97,41.2,469.85
23.54,1009.44,65.48,67.83,426.24
9.68,1015.19,87.34,41.44,479.89
5.85,1001.95,99.41,41.55,484.47
13.68,1024.91,85.26,45.08,467.02
23.16,1017.74,63.79,57.76,451.79
30.88,1011.48,46.58,69.51,433.14
9.76,1020.88,91.82,40.71,470.95
33.58,1010.19,53.49,77.54,433.75
18.22,1019.35,56.78,44.34,469.27
22.55,1008.65,67.9,47.45,447.42
34.43,1010.17,34.09,68.51,431.39
26.57,1013.23,40.24,48.06,439.54
20.92,1010.23,95.58,70.02,444.64
15.07,1015.22,57.74,43.48,459.96
9.47,1026.21,89.08,41.4,480.79
27.34,1008.12,72.22,71.64,438.76
22.96,1012.21,50.81,45.01,450.37
28.81,1000.46,68.05,64.96,427.91
14.82,1016.32,66.3,40,458.46
24.92,1017.7,44.92,63.94,441.07
26.86,1007.11,76.61,71.14,426.97
32.12,1013.31,54.3,69.98,429.86
5.71,1022.49,87.9,40.77,487.48
26.43,1004.36,55.9,66.48,435.59
21.4,1017.84,78.01,59.21,444.15
24.55,1015.22,60.53,58.86,445.8
26.41,1010.6,77.79,68.24,428.52
21.97,1014.21,85.93,58.12,448.91
24.6,1018.1,73.71,48.78,442.23
9.13,1014.14,86.17,39.16,484.86
18.92,1020.32,47.81,44.63,451.64
24.88,1014.23,55.76,63.31,441.54
27.4,1002.98,76.48,69.84,430.54
21.45,1013.83,52.26,45.09,453.15
21.33,1010.97,78.36,60.1,451.95
17.1,1016.48,85.63,48.98,454.43
9.86,1018.49,98.71,41.01,467.37
21.5,1019.05,76.56,59.87,444.05
25.38,1012.87,62.49,65.34,447.41
24.53,1009.9,78.34,74.78,446.3
27.16,1007.81,89.07,71.32,430.53
25.51,1013.28,61.85,64.27,444.76
19.4,1020.38,81.1,64.63,453.84
30.85,1007.31,68.99,68.94,426.1
7.82,1023.3,87.7,41.16,475.66
26.92,1010.29,68.6,63.73,440.35
11.57,1020.13,69.14,41.54,476.89
19.39,1010.28,83.31,60.1,452.57
29.37,1009.47,55.65,74.78,434.2
31.84,1014.9,55.35,77.95,433.28
31.06,1007.62,65.54,67.17,437.91
13.49,1019.12,70.02,44.63,471.08
22.07,1008.6,61.33,50.78,449.96
9.72,1018.31,76.07,39.66,480.05
20.42,1012.23,66.5,45.01,451.28
6.45,1018.86,67.84,35.77,483.12
13.2,1007.75,94.98,40.83,472.41
18.9,1005.31,77.79,47.83,455.94
20.31,1011.57,69.03,49.69,455.37
6.33,1004.25,77.1,42.07,484.57
11.37,1016.54,87.05,39.16,480.54
18.64,1016.01,51.17,43.79,465.13
24.75,1013.97,53.49,69.45,438.28
7.05,1018.41,72.36,43.65,480.47
5.49,1014.43,90.41,40.81,487.36
26.3,1007.84,78.32,59.07,441.94
27.98,1009.46,63.11,74.78,436.82
19.54,1017.15,70.37,54.9,455.86
16.37,1021.26,72.4,43.5,459.18
20.6,1014.93,75.78,45.38,460.24
27.23,1006.59,77.94,71.77,427.39
16.55,1011.45,55.53,41.66,465.14
32.07,1008.43,44.95,71.29,426.96
25.23,1017.79,56.42,60.84,442.02
29.22,1012.22,64.91,73.18,430.57
21.23,1017.42,69.26,50.59,453.95
10.35,1013.37,69.26,37.14,472.63
21.49,1007.47,66.66,56.9,452.46
23.82,1009.8,68.94,63.76,440.52
25.36,1011.89,55.64,61.41,452.29
26.89,1003.84,41.22,49.16,442.39
24.65,1007.99,90.05,72.43,437.59
21.39,1009.52,88.67,52.3,447.77
7.85,1020.9,59.19,37.8,478.68
29.07,1009.24,58.38,72.51,439.8
23.45,1003.03,66.41,69.05,440.24
14.49,1024.09,86.55,44.84,465.72
9.75,1026,84.44,40.81,481.95
16.94,1024.43,69.22,49.64,459.25
27.5,1014.93,47.46,65.34,439.59
13.79,1016.02,70.17,40,461.16
26.98,1008.55,78.5,72.58,431.12
8.96,1031.21,82.32,40.02,475.47
5.97,1029.65,86.74,36.25,487.03
25.1,1015.42,85.81,69.89,434.98
14.84,1019.28,57.37,44.63,466
15.55,1016.21,88.5,40.66,457.53
8.05,1028.01,89.56,40.8,483.43
15.09,1022.4,76.22,41.76,463.27
23.3,1008.54,92.11,72.99,437.62
21.77,1013.03,67.44,42.23,462.51
6.86,1007.95,93.96,42.49,486.14
9.57,1013.12,89.15,39.82,468.02
18.96,1010.72,100.09,50.16,451.2
19.82,1012.92,51.92,41.67,456.87
22.08,1002.19,46.69,41.1,455.04
17.31,1011.8,92.77,58.49,456.84
18.32,1005.06,87.21,47.83,454.11
27.75,1006.65,90.21,70.4,436.53
26.13,1004.16,87.18,71.64,439.73
29.45,1010.49,64.87,74.16,438.11
23.63,1012.29,88.81,73.18,437.7
24.11,1017.33,79.16,68.3,432.62
25.72,1003.01,86.38,72.39,432.77
14.96,1024.07,73.17,41.76,463.26
28.32,1007.77,78.35,72.58,428.06
26.94,1010.49,76.58,68.24,430.34
13.44,1012.93,84.29,39.39,469.67
24.33,1013.61,53.02,46.93,450.04
22.06,1021.07,68.66,64.15,451.44
27.89,1007.54,49.18,70.94,435.21
8.47,1005.37,92.73,42.02,477.67
24.74,1016.91,55.65,63.87,447.02
8.5,1014.1,86.64,39.16,485.76
24.19,1017.78,58.78,58.95,441.91
32.31,1006.11,71.78,68.94,431.14
12.02,1030.1,84.45,41.92,465.82
22.66,1006.16,82.79,69.84,439.06
14.1,1025.09,79.42,44.84,468.22
26.78,1007.99,90.47,73.06,433.25
31.6,1010.05,43.48,73.17,433.37
29.3,1007.72,81.92,74.16,431.32
29.12,1006.9,49.79,66.56,429.94
17.54,1012.35,91.56,58.49,453.02
31.9,1003.4,57.76,69.4,436.04
28.83,1006.69,67.04,72.43,428.85
10.45,1019.01,89.01,40,465.43
17.79,1020.5,69.72,44.9,457.72
17.58,1020.52,71.48,44.9,459.78
18.9,1020.69,80.57,62.96,455.88
23.28,1013.31,53,69.51,444.17
18.81,1009.71,70.47,61.87,448.49
7.46,1009.63,96.51,41.26,482.83
22.89,1015.53,61,65.34,450.53
9.88,1015.34,84.32,40.71,471.8
17.59,1018.96,81.34,65.48,454.51
23.97,1010.54,84.65,64.33,443.87
11.95,1013.44,74.83,41.48,465.41
22.12,1019.8,72.83,49.39,451
9.05,1015.57,75.48,40.67,486.55
27.6,1009.63,71.58,69.34,440.6
16.52,1017.61,90.08,44.88,459.73
5.84,1020.34,82.41,41.38,489.4
10.77,1012.87,84.16,44.78,470.66
21.95,1013.92,70.94,50.66,455.23
23.09,1010.58,77.85,70.02,443.27
12.31,1007.78,94.42,44.03,468.13
14.29,1012.36,92.38,39.59,463.13
11.65,1020.09,67.96,41.54,476.4
